"page_id";"page_name";"link";"tag1";"tag2";"tag3";"tag4"
1;"311 Contact Centre Metrics";"https://opendata.citywindsor.ca/opendata/details/226";" miscellaneous";"";"";""
2;"3-Day Parking Infraction Service Requests";"https://opendata.citywindsor.ca/opendata/details/6";"vehicle";"";"";""
3;"Abandoned Vehicle Service Requests";"https://opendata.citywindsor.ca/opendata/details/9";"vehicle";"";"";""
4;"All Service Requests";"https://opendata.citywindsor.ca/opendata/details/11";"emergency";"public";"miscellaneous";""
5;"Alley Maintenance Service Requests";"https://opendata.citywindsor.ca/opendata/details/13";"public";"";"";""
6;"Arenas";"https://opendata.citywindsor.ca/opendata/details/2";"public";"building";"";""
7;"Bike Lanes, Signed Routes & Multi-use Trails";"https://opendata.citywindsor.ca/opendata/details/3";"public";"";"";""
8;"Building Accessibility Service Requests";"https://opendata.citywindsor.ca/opendata/details/15";"public";"building";"";""
9;"Building Conditions Service Requests";"https://opendata.citywindsor.ca/opendata/details/17";"building";"";"";""
10;"Building Footprints";"https://opendata.citywindsor.ca/opendata/details/234";"building";"";"";""
11;"Building/Land - Improper Use Service Requests";"https://opendata.citywindsor.ca/opendata/details/191";"building";"land";"";""
12;"Business Improvement Area";"https://opendata.citywindsor.ca/opendata/details/193";"miscellaneous";"land";"";""
13;"Bylaw and Building Statistics";"https://opendata.citywindsor.ca/opendata/details/194";"building";"";"";""
14;"Census";"https://opendata.citywindsor.ca/opendata/details/225";"census";"";"";""
15;"Community Centres";"https://opendata.citywindsor.ca/opendata/details/195";"building";"public";"";""
16;"Construction Site Conditions Service Requests";"https://opendata.citywindsor.ca/opendata/details/189";"building";"";"";""
17;"Crossing Guard Locations";"https://opendata.citywindsor.ca/opendata/details/233";"public";"land";"miscellaneous";""
18;"Curb Maintenance Service Requests";"https://opendata.citywindsor.ca/opendata/details/187";"public";"";"";""
19;"Dead Animal Removal Service Requests";"https://opendata.citywindsor.ca/opendata/details/185";"public";"miscellaneous";"";""
20;"Dirty Yard Service Requests";"https://opendata.citywindsor.ca/opendata/details/183";"building";"land";"";""
21;"Dog Complaint - Bylaw Service Requests";"https://opendata.citywindsor.ca/opendata/details/181";"miscellaneous";"";"";""
22;"Dog Complaint - Humane Society Service Requests";"https://opendata.citywindsor.ca/opendata/details/179";"miscellaneous";"";"";""
23;"Downspout Disconnect Service Requests";"https://opendata.citywindsor.ca/opendata/details/177";"public";"";"";""
24;"Drainage Service Requests";"https://opendata.citywindsor.ca/opendata/details/175";"public";"";"";""
25;"Edge of Pavement";"https://opendata.citywindsor.ca/opendata/details/235";"public";"land";"";""
26;"Elected Officials Contact Information";"https://opendata.citywindsor.ca/opendata/details/196";"public";"census";"";""
27;"Election Results - 2010";"https://opendata.citywindsor.ca/opendata/details/197";"census";"";"";""
28;"Election Results - 2014";"https://opendata.citywindsor.ca/opendata/details/198";"census";"";"";""
29;"Election Results - 2018";"https://opendata.citywindsor.ca/opendata/details/228";"census";"";"";""
30;"Fence & Hedge Service Requests";"https://opendata.citywindsor.ca/opendata/details/173";"public";"land";"";""
31;"Fire Stations";"https://opendata.citywindsor.ca/opendata/details/199";"emergency";"building";"";""
32;"Forward Sortation Areas (FSA)";"https://opendata.citywindsor.ca/opendata/details/200";"land";"public";"";""
33;"Garbage & Recycling Collection";"https://opendata.citywindsor.ca/opendata/details/201";"public";"";"";""
34;"Garbage Not Collected Service Requests";"https://opendata.citywindsor.ca/opendata/details/171";"public";"miscellaneous";"";""
35;"Garbage Preparation Service Requests";"https://opendata.citywindsor.ca/opendata/details/169";"public";"miscellaneous";"";""
36;"Graffiti Service Requests";"https://opendata.citywindsor.ca/opendata/details/167";"public";"miscellaneous";"";""
37;"Heritage Sites";"https://opendata.citywindsor.ca/opendata/details/202";"building";"land";"";""
38;"Hospitals";"https://opendata.citywindsor.ca/opendata/details/203";"building";"emergency";"";""
39;"Humane Society - Dead Animal Removal";"https://opendata.citywindsor.ca/opendata/details/227";"miscellaneous";"";"";""
40;"Illegal Dumping Public Property Service Requests";"https://opendata.citywindsor.ca/opendata/details/165";"miscellaneous";"public";"";""
41;"Keeping of Animals Service Requests";"https://opendata.citywindsor.ca/opendata/details/163";"miscellaneous";"";"";""
42;"Land Parcels";"https://opendata.citywindsor.ca/opendata/details/204";"land";"";"";""
43;"Libraries";"https://opendata.citywindsor.ca/opendata/details/205";"public";"building";"";""
44;"Litter Bin - Request New Service Requests";"https://opendata.citywindsor.ca/opendata/details/161";"public";"miscellaneous";"";""
45;"Litter Bin - Service Service Requests";"https://opendata.citywindsor.ca/opendata/details/159";"public";"miscellaneous";"";""
46;"Noise Service Requests";"https://opendata.citywindsor.ca/opendata/details/157";"public";"emergency";"";""
47;"Parking Lots & Garages";"https://opendata.citywindsor.ca/opendata/details/206";"building";"public";"";""
48;"Parking Meter Service Requests";"https://opendata.citywindsor.ca/opendata/details/155";"miscellaneous";"";"";""
49;"Parks";"https://opendata.citywindsor.ca/opendata/details/207";"land";"";"";""
50;"Parks - Names and Addresses";"https://opendata.citywindsor.ca/opendata/details/232";"land";"";"";""
51;"Parks as Points";"https://opendata.citywindsor.ca/opendata/details/208";"land";"";"";""
52;"Parks Lighting Service Requests";"https://opendata.citywindsor.ca/opendata/details/230";"land";"";"";""
53;"Parks Maintenance Service Requests";"https://opendata.citywindsor.ca/opendata/details/229";"land";"";"";""
54;"Parks Playgrounds Service Requests";"https://opendata.citywindsor.ca/opendata/details/231";"land";"";"";""
55;"Planning Districts";"https://opendata.citywindsor.ca/opendata/details/209";"land";"building";"";""
56;"Police Stations";"https://opendata.citywindsor.ca/opendata/details/210";"building";"emergency";"";""
57;"Portable Sign Issue Service Requests";"https://opendata.citywindsor.ca/opendata/details/153";"miscellaneous";"";"";""
58;"Pothole Service Requests";"https://opendata.citywindsor.ca/opendata/details/151";"miscellaneous";"building";"";""
59;"Property Flooding / Grading Service Requests";"https://opendata.citywindsor.ca/opendata/details/149";"miscellaneous";"building";"";""
60;"Protection of Parks Service Requests";"https://opendata.citywindsor.ca/opendata/details/146";"land";"";"";""
61;"Public Property Obstructions Service Requests";"https://opendata.citywindsor.ca/opendata/details/144";"public";"land";"building";""
62;"Recycling Not Collected Service Requests";"https://opendata.citywindsor.ca/opendata/details/142";"public";"";"";""
63;"Road Cave-In Service Requests";"https://opendata.citywindsor.ca/opendata/details/140";"public";"building";"";""
64;"Road Clean-Up Request Service Requests";"https://opendata.citywindsor.ca/opendata/details/138";"public";"";"";""
65;"Road Maintenance Service Requests";"https://opendata.citywindsor.ca/opendata/details/136";"public";"";"";""
66;"Rodent Extermination Service Requests";"https://opendata.citywindsor.ca/opendata/details/134";"miscellaneous";"";"";""
67;"Schools";"https://opendata.citywindsor.ca/opendata/details/211";"building";"public";"";""
68;"Sculpture Gardens";"https://opendata.citywindsor.ca/opendata/details/212";"public";"land";"";""
69;"Sewer Maintenance Service Requests";"https://opendata.citywindsor.ca/opendata/details/132";"public";"";"";""
70;"Sewer Project Restoration Service Requests";"https://opendata.citywindsor.ca/opendata/details/130";"public";"";"";""
71;"Sewers & Manholes";"https://opendata.citywindsor.ca/opendata/details/213";"public";"";"";""
72;"Shoulder Maintenance Service Requests";"https://opendata.citywindsor.ca/opendata/details/126";"public";"";"";""
73;"Sidewalk Construction & Repair Service Requests";"https://opendata.citywindsor.ca/opendata/details/124";"public";"";"";""
74;"Sidewalks";"https://opendata.citywindsor.ca/opendata/details/214";"miscellaneous";"land";"";""
75;"Snow & Ice - Dumping on Road/Alley Service Requests";"https://opendata.citywindsor.ca/opendata/details/119";"public";"";"";""
76;"Snow & Ice Removal Issues - Sidewalks Service Requests";"https://opendata.citywindsor.ca/opendata/details/117";"public";"miscellaneous";"";""
77;"Snow Plowing/Salting Request Service Requests";"https://opendata.citywindsor.ca/opendata/details/115";"public";"";"";""
78;"Snow Removal - Emergency Service Requests";"https://opendata.citywindsor.ca/opendata/details/113";"public";"emergency";"";""
79;"Street Centreline";"https://opendata.citywindsor.ca/opendata/details/215";"land";"";"";""
80;"Street Sweeping Service Requests";"https://opendata.citywindsor.ca/opendata/details/111";"public";"land";"";""
81;"Transit Bus Routes";"https://opendata.citywindsor.ca/opendata/details/216";"public";"";"";""
82;"Transit Bus Stops";"https://opendata.citywindsor.ca/opendata/details/217";"public";"";"";""
83;"Transit Data (GTFS)";"https://opendata.citywindsor.ca/opendata/details/218";"public";"";"";""
84;"Tree Request Service Requests";"https://opendata.citywindsor.ca/opendata/details/108";"miscellaneous";"";"";""
85;"Variance Report - Quarterly";"https://opendata.citywindsor.ca/opendata/details/219";"miscellaneous";"";"";""
86;"Voting Locations";"https://opendata.citywindsor.ca/opendata/details/220";"census";"land";"";""
87;"Ward Boundaries";"https://opendata.citywindsor.ca/opendata/details/222";"land";"";"";""
88;"Website Usage: Popular Pages";"https://opendata.citywindsor.ca/opendata/details/223";"miscellaneous";"";"";""
89;"Winter Control - Snowplow Activity";"https://opendata.citywindsor.ca/opendata/details/224";"miscellaneous";"";"";""
90;"Yard Waste Not Collected Service Requests";"https://opendata.citywindsor.ca/opendata/details/106";"public";"";"";""
